Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,22p/NP0,C1653
"C10, C13, C14, C7",0603,4,4.7u/10V/X5R,C19666
C11,0603,1,10n/NP0,C57112
"C12, C15, C8, C9",0603,4,100n,C14663
"C3, C4, C5, C6",0402,4,1u/10V/X5R,C19666
D1,0603,1,GREEN,C72043
D2,0603,1,RED,C2286
"D3, D4, R17",0603,3,N.M.,
"FB1, FB2",0603,2,600R@100MHz,C1002
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,GT-USB-7010ASV,C464604
J2,PinHeader_1x07_P1.27mm_Vertical,1,Conn_01x07_Male,
"Q1, Q2",SOT-23,2,MMBT3904,
R1,0402,1,1.5K,C22843
"R10, R11",0402,2,2.2K,C4190
"R12, R13",0402,2,22R,C23345
"R14, R5",0603,2,2.2K,C4190
"R15, R4, R8, R9",0603,4,220R,C22962
"R16, R3, R6, R7",0603,4,5.1K,C23186
R2,0603,1,10K,C25804
"U1, U3",SOT-23-3,2,XC6206PxxxMR,
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F373CBTx,C94046
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8MHz/20pF,C115962
