Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,22p/NP0,C1653
"C10, C13, C14, C4, C5, C6, C7",0603,7,4.7u/10V/X5R,C19666
C11,0603,1,10n/NP0,C57112
"C12, C15, C3, C8, C9",0603,5,100n,C14663
D1,0603,1,GREEN,C72043
D2,0603,1,RED,C2286
"D3, D4, R17",0603,3,N.M.,
"FB1, FB2",0603,2,600R@100MHz,C1002
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,GT-USB-7010ASV,C464604
J2,PinHeader_1x07_P1.27mm_Vertical,1,Conn_01x07_Male,
Q1,SOT-363_SC-70-6,1,BC847BS,C8653
R1,0603,1,1.5K,C22843
"R10, R11, R14, R5",0603,4,2.2K,C4190
"R12, R13",0603,2,22R,C23345
"R15, R4, R8, R9",0603,4,220R,C22962
"R16, R3, R6, R7",0603,4,5.1K,C23186
R2,0603,1,10K,C25804
U1,LLP-6 (2x1.8),1,VRD3333,C144168
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F373CBTx,C94046
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8MHz/20pF,C115962
